NPA,median_age_of_residents_2022,high_speed_internet_access_2022,employment_2022,single_family_housing_2022_Raw,residential_occupancy_2022,home_ownership_2022,vacant_land_in_acres_2022,proximity_to_public_transportation_2022,street_connectivity_index_2022,proximity_to_school_age_care_2022,proximity_to_early_care_and_education_2022
160,42,67.5%,100%,932,93.8%,55.3%,50,1154,1,923,958
161,31,82.2%,100%,132,88.7%,4.8%,8,1060,1,249,4
162,31,62.9%,80.8%,696,94.1%,61.3%,17,751,1,751,751
163,36,83.1%,94.5%,236,85.6%,38%,13,912,1,911,911
164,28,60.6%,94.4%,480,95%,26.7%,10,1830,1,1777,1635
165,32,57.7%,95.3%,252,100%,20.3%,23,902,1,909,909
166,26,100%,77.6%,111,92.7%,46.4%,12,587,1,587,587
167,32,82.5%,92.8%,100,82.1%,33.6%,62,440,1,440,440
168,48,65.2%,89.6%,448,91.3%,59.5%,1,633,1,633,633
169,32,94.9%,98.6%,425,100%,57.8%,15,0,1,1038,1015
170,38,95.4%,91.4%,457,100%,84.1%,44,0,1,610,449
171,34,84.7%,98.7%,185,85.9%,43.6%,4,445,1,477,477
